date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:00:48	28111/28111	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Sep%202018%2013:09:52%20GMT	https://colorlib.com/preview/theme/look/index.html	D:/Websites/Samples/AME/colorlib.com/preview/theme/look/index.html	(from )
16:00:55	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
16:00:57	9467/9467	---MCZ	200	added ('OK')	text/css	etag:W/%225b93ca33-24fb%22	https://colorlib.com/preview/theme/look/css/open-iconic-bootstrap.min.css	D:/Websites/Samples/AME/colorlib.com/preview/theme/look/css/open-iconic-bootstrap.min.css	(from https://colorlib.com/preview/theme/look/index.html)
16:01:00	73641/73641	---MCZ	200	added ('OK')	text/css	etag:W/%225b93ca2a-11fa9%22	https://colorlib.com/preview/theme/look/css/animate.css	D:/Websites/Samples/AME/colorlib.com/preview/theme/look/css/animate.css	(from https://colorlib.com/preview/theme/look/index.html)
16:01:02	2936/2936	---MCZ	200	added ('OK')	text/css	etag:W/%225b93ca34-b78%22	https://colorlib.com/preview/theme/look/css/owl.carousel.min.css	D:/Websites/Samples/AME/colorlib.com/preview/theme/look/css/owl.carousel.min.css	(from https://colorlib.com/preview/theme/look/index.html)
16:01:06	965/965	---MCZ	200	added ('OK')	text/css	etag:W/%225b93ca34-3c5%22	https://colorlib.com/preview/theme/look/css/owl.theme.default.min.css	D:/Websites/Samples/AME/colorlib.com/preview/theme/look/css/owl.theme.default.min.css	(from https://colorlib.com/preview/theme/look/index.html)
16:01:08	6950/6950	---MCZ	200	added ('OK')	text/css	etag:W/%225b93ca33-1b26%22	https://colorlib.com/preview/theme/look/css/magnific-popup.css	D:/Websites/Samples/AME/colorlib.com/preview/theme/look/css/magnific-popup.css	(from https://colorlib.com/preview/theme/look/index.html)
16:01:11	25983/25983	---MCZ	200	added ('OK')	text/css	etag:W/%225b93ca2a-657f%22	https://colorlib.com/preview/theme/look/css/aos.css	D:/Websites/Samples/AME/colorlib.com/preview/theme/look/css/aos.css	(from https://colorlib.com/preview/theme/look/index.html)
16:01:13	46816/46816	---MCZ	200	added ('OK')	text/css	etag:W/%225b93ca31-b6e0%22	https://colorlib.com/preview/theme/look/css/ionicons.min.css	D:/Websites/Samples/AME/colorlib.com/preview/theme/look/css/ionicons.min.css	(from https://colorlib.com/preview/theme/look/index.html)
16:01:15	17945/17945	---MCZ	200	added ('OK')	text/css	etag:W/%225b93ca2b-4619%22	https://colorlib.com/preview/theme/look/css/bootstrap-datepicker.css	D:/Websites/Samples/AME/colorlib.com/preview/theme/look/css/bootstrap-datepicker.css	(from https://colorlib.com/preview/theme/look/index.html)
16:01:17	1588/1588	---MCZ	200	added ('OK')	text/css	etag:W/%225b93ca32-634%22	https://colorlib.com/preview/theme/look/css/jquery.timepicker.css	D:/Websites/Samples/AME/colorlib.com/preview/theme/look/css/jquery.timepicker.css	(from https://colorlib.com/preview/theme/look/index.html)
16:01:19	1274/1274	---MCZ	200	added ('OK')	text/css	etag:W/%225b93ca2c-4fa%22	https://colorlib.com/preview/theme/look/css/flaticon.css	D:/Websites/Samples/AME/colorlib.com/preview/theme/look/css/flaticon.css	(from https://colorlib.com/preview/theme/look/index.html)
16:01:23	79875/79875	---MCZ	200	added ('OK')	text/css	etag:W/%225b93ca30-13803%22	https://colorlib.com/preview/theme/look/css/icomoon.css	D:/Websites/Samples/AME/colorlib.com/preview/theme/look/css/icomoon.css	(from https://colorlib.com/preview/theme/look/index.html)
16:01:31	244953/244953	---MCZ	200	added ('OK')	text/css	etag:W/%225b93ca39-3bcd9%22	https://colorlib.com/preview/theme/look/css/style.css	D:/Websites/Samples/AME/colorlib.com/preview/theme/look/css/style.css	(from https://colorlib.com/preview/theme/look/index.html)
16:01:38	295128/295128	---M--	200	added ('OK')	image/jpeg	etag:%225b93ca4e-480d8%22	https://colorlib.com/preview/theme/look/images/bg_2.jpg	D:/Websites/Samples/AME/colorlib.com/preview/theme/look/images/bg_2.jpg	(from https://colorlib.com/preview/theme/look/index.html)
16:01:42	16429/16429	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Sep%202018%2013:09:49%20GMT	https://colorlib.com/preview/theme/look/about.html	D:/Websites/Samples/AME/colorlib.com/preview/theme/look/about.html	(from https://colorlib.com/preview/theme/look/index.html)
16:01:51	17363/17363	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Sep%202018%2013:09:53%20GMT	https://colorlib.com/preview/theme/look/model.html	D:/Websites/Samples/AME/colorlib.com/preview/theme/look/model.html	(from https://colorlib.com/preview/theme/look/index.html)
